Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,556,262,641.63","1,556,265,082.93"
audio,"1,556,262,641.63","1,556,265,082.93"
writing,"1,556,267,218.74","1,556,280,416.38"
audio,"1,556,267,218.74","1,556,280,416.38"
writing,"1,556,281,494.86","1,556,285,289.49"
audio,"1,556,281,494.86","1,556,285,289.49"
writing,"1,556,286,569.92","1,556,299,862.13"
audio,"1,556,286,569.92","1,556,299,862.13"
writing,"1,556,299,913.74","1,556,311,032.65"
audio,"1,556,299,913.74","1,556,311,032.65"
writing,"1,556,311,508.59","1,556,319,635.58"
audio,"1,556,311,508.59","1,556,319,635.58"
