Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,555,929,001.02","1,555,929,008.33"
writing,"1,555,929,012.37","1,555,929,020.56"
writing,"1,555,929,021.08","1,555,929,027.96"
writing,"1,555,929,029.49","1,555,929,052.32"
writing,"1,555,929,052.84","1,555,929,057.00"
writing,"1,555,929,057.52","1,555,929,086.11"
writing,"1,555,929,253.12","1,555,930,933.58"
writing,"1,555,931,008.15","1,555,934,765.83"
writing,"1,555,934,786.68","1,555,943,087.45"
writing,"1,555,944,243.02","1,555,944,617.07"
writing,"1,555,944,758.98","1,555,944,803.50"
writing,"1,555,945,728.48","1,555,945,791.20"
writing,"1,555,946,173.22","1,555,946,213.66"
writing,"1,555,946,583.98","1,555,947,085.32"
writing,"1,555,947,085.84","1,555,947,090.73"
audio,"1,555,947,085.84","1,555,947,090.73"
writing,"1,555,947,092.75","1,555,947,160.08"
audio,"1,555,947,092.75","1,555,947,160.08"
writing,"1,555,947,160.59","1,555,947,163.23"
audio,"1,555,947,160.59","1,555,947,163.23"
visual,"1,555,947,160.59","1,555,947,163.23"
writing,"1,555,947,166.25","1,555,947,996.77"
audio,"1,555,947,166.25","1,555,947,996.77"
visual,"1,555,947,166.25","1,555,947,996.77"
