Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,579,180,455.49","1,579,180,458.08"
writing,"1,579,180,487.92","1,579,180,488.95"
writing,"1,579,180,494.67","1,579,180,503.95"
writing,"1,579,181,213.96","1,579,181,214.99"
writing,"1,579,181,241.30","1,579,181,241.82"
writing,"1,579,181,308.44","1,579,181,308.97"
writing,"1,579,181,315.21","1,579,181,322.96"
audio,"1,579,181,389.48","1,579,181,393.60"
writing,"1,579,182,450.23","1,579,182,462.07"
writing,"1,579,182,465.66","1,579,182,467.71"
writing,"1,579,182,499.08","1,579,182,517.65"
writing,"1,579,182,534.12","1,579,182,539.28"
writing,"1,579,182,542.89","1,579,182,557.32"
writing,"1,579,182,599.45","1,579,182,609.25"
writing,"1,579,182,656.66","1,579,182,665.93"
writing,"1,579,182,683.98","1,579,182,688.11"
writing,"1,579,182,692.23","1,579,182,701.00"
writing,"1,579,182,716.46","1,579,182,723.69"
writing,"1,579,182,728.86","1,579,182,730.92"
writing,"1,579,182,731.95","1,579,182,732.47"
writing,"1,579,182,753.59","1,579,182,759.77"
writing,"1,579,182,765.95","1,579,182,771.62"
writing,"1,579,182,778.34","1,579,182,782.98"
writing,"1,579,182,791.77","1,579,182,795.38"
writing,"1,579,182,797.96","1,579,182,807.76"
writing,"1,579,182,814.97","1,579,182,852.61"
writing,"1,579,182,895.86","1,579,182,901.54"
writing,"1,579,182,910.82","1,579,182,915.98"
writing,"1,579,182,919.59","1,579,182,923.21"
writing,"1,579,182,926.82","1,579,182,938.17"
writing,"1,579,182,941.78","1,579,182,944.87"
writing,"1,579,182,961.37","1,579,182,990.25"
writing,"1,579,182,992.83","1,579,183,037.19"
writing,"1,579,183,062.96","1,579,183,066.57"
writing,"1,579,183,083.07","1,579,183,085.13"
writing,"1,579,183,101.14","1,579,183,104.77"
writing,"1,579,183,116.61","1,579,183,202.28"
writing,"1,579,183,232.21","1,579,183,262.71"
writing,"1,579,183,264.26","1,579,183,271.48"
writing,"1,579,183,325.61","1,579,183,345.71"
writing,"1,579,183,384.90","1,579,183,633.03"
writing,"1,579,183,642.27","1,579,183,725.27"
writing,"1,579,183,728.88","1,579,183,794.91"
writing,"1,579,183,802.65","1,579,183,821.20"
audio,"1,579,183,843.31","1,579,183,844.34"
writing,"1,579,184,178.87","1,579,184,179.90"
writing,"1,579,184,253.57","1,579,184,254.08"
writing,"1,579,184,366.93","1,579,184,372.61"
writing,"1,579,184,383.96","1,579,184,384.99"
writing,"1,579,184,481.85","1,579,184,482.37"
writing,"1,579,184,489.08","1,579,184,522.12"
audio,"1,579,184,732.98","1,579,184,733.49"
writing,"1,579,184,742.79","1,579,184,786.14"
audio,"1,579,184,800.56","1,579,184,801.08"
writing,"1,579,184,801.59","1,579,184,803.15"
writing,"1,579,184,888.65","1,579,184,889.16"
writing,"1,579,184,909.26","1,579,184,912.35"
writing,"1,579,184,916.48","1,579,184,918.54"
writing,"1,579,184,941.75","1,579,184,947.94"
writing,"1,579,185,165.27","1,579,185,166.33"
writing,"1,579,188,182.71","1,579,188,184.26"
writing,"1,579,188,187.37","1,579,188,193.57"
writing,"1,579,188,195.64","1,579,188,196.67"
writing,"1,579,188,262.22","1,579,188,266.35"
writing,"1,579,188,267.39","1,579,188,280.26"
writing,"1,579,188,285.42","1,579,188,346.83"
writing,"1,579,188,348.42","1,579,188,349.96"
writing,"1,579,188,353.06","1,579,188,354.10"
writing,"1,579,188,356.17","1,579,188,372.16"
writing,"1,579,188,375.77","1,579,188,379.90"
writing,"1,579,188,382.48","1,579,189,066.48"
writing,"1,579,195,970.27","1,579,195,974.90"
writing,"1,579,195,980.58","1,579,196,002.77"
writing,"1,579,196,007.42","1,579,196,009.48"
writing,"1,579,196,041.47","1,579,196,048.70"
writing,"1,579,196,239.18","1,579,196,266.02"
writing,"1,579,196,279.43","1,579,196,428.05"
writing,"1,579,196,437.32","1,579,196,438.35"
writing,"1,579,196,465.69","1,579,196,473.43"
writing,"1,579,196,480.15","1,579,196,481.17"
writing,"1,579,196,510.06","1,579,196,534.30"
writing,"1,579,196,836.30","1,579,197,104.14"
writing,"1,579,197,133.56","1,579,197,232.08"
writing,"1,579,197,235.16","1,579,197,244.40"
writing,"1,579,197,270.18","1,579,197,596.44"
writing,"1,579,197,701.61","1,579,197,727.41"
audio,"1,579,197,733.59","1,579,197,748.02"
writing,"1,579,197,757.32","1,579,197,758.36"
writing,"1,579,197,788.26","1,579,197,789.81"
writing,"1,579,197,793.43","1,579,197,801.17"
writing,"1,579,197,804.78","1,579,197,828.00"
writing,"1,579,197,830.06","1,579,197,851.72"
writing,"1,579,197,868.72","1,579,198,025.99"
writing,"1,579,198,060.52","1,579,198,071.36"
writing,"1,579,198,085.81","1,579,198,093.04"
writing,"1,579,198,097.70","1,579,198,099.25"
writing,"1,579,198,100.78","1,579,198,101.30"
writing,"1,579,198,106.47","1,579,198,121.42"
writing,"1,579,198,184.80","1,579,198,442.66"
writing,"1,579,198,460.70","1,579,198,463.27"
audio,"1,579,198,465.33","1,579,198,467.40"
writing,"1,579,198,524.14","1,579,198,524.66"
writing,"1,579,198,553.02","1,579,198,602.02"
writing,"1,579,198,604.09","1,579,198,910.98"
writing,"1,579,198,945.02","1,579,198,952.24"
writing,"1,579,198,953.79","1,579,199,143.56"
writing,"1,579,199,160.06","1,579,199,457.12"
writing,"1,579,200,576.38","1,579,200,882.75"
writing,"1,579,201,120.57","1,579,201,121.61"
writing,"1,579,201,355.15","1,579,201,356.20"
