Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
visual,"1,570,489,814.59","1,570,489,984.23"
audio,"1,570,532,391.32","1,570,532,391.83"
audio,"1,570,532,415.49","1,570,532,416.52"
audio,"1,570,532,591.07","1,570,532,591.58"
audio,"1,570,532,984.46","1,570,532,984.97"
audio,"1,570,533,111.05","1,570,533,112.59"
audio,"1,570,533,114.13","1,570,533,127.99"
audio,"1,570,534,128.86","1,570,534,131.43"
audio,"1,570,534,486.74","1,570,534,487.76"
audio,"1,570,534,628.87","1,570,534,629.90"
audio,"1,570,537,246.60","1,570,537,249.69"
audio,"1,570,537,460.74","1,570,537,461.25"
audio,"1,570,540,005.39","1,570,540,007.96"
audio,"1,570,540,010.55","1,570,540,019.79"
writing,"1,570,540,502.01","1,570,540,517.41"
writing,"1,570,540,526.10","1,570,540,535.36"
audio,"1,570,540,537.41","1,570,540,560.51"
audio,"1,570,540,591.88","1,570,540,602.15"
audio,"1,570,540,618.59","1,570,540,620.64"
audio,"1,570,540,630.92","1,570,541,025.42"
writing,"1,570,541,026.44","1,570,541,026.96"
writing,"1,570,541,030.05","1,570,541,074.29"
writing,"1,570,541,096.87","1,570,541,106.12"
writing,"1,570,541,137.95","1,570,541,148.74"
writing,"1,570,541,175.44","1,570,541,176.47"
writing,"1,570,541,281.76","1,570,541,282.27"
writing,"1,570,541,483.55","1,570,541,487.15"
audio,"1,570,541,627.72","1,570,541,628.75"
audio,"1,570,542,629.93","1,570,542,630.44"
writing,"1,570,542,630.96","1,570,542,886.42"
writing,"1,570,542,891.15","1,570,542,895.75"
audio,"1,570,543,449.24","1,570,543,449.75"
writing,"1,570,543,450.27","1,570,543,477.53"
writing,"1,570,543,488.84","1,570,543,489.87"
writing,"1,570,543,490.90","1,570,543,491.41"
audio,"1,570,544,303.40","1,570,544,305.46"
audio,"1,570,544,332.71","1,570,544,333.23"
audio,"1,570,544,447.34","1,570,544,448.36"
audio,"1,570,544,734.18","1,570,544,734.69"
audio,"1,570,545,714.84","1,570,545,715.35"
audio,"1,570,553,699.46","1,570,553,833.75"
audio,"1,570,554,560.16","1,570,554,561.19"
audio,"1,570,555,046.30","1,570,555,046.82"
audio,"1,570,555,052.98","1,570,555,197.05"
audio,"1,570,555,455.62","1,570,555,488.45"
audio,"1,570,555,846.09","1,570,555,847.12"
audio,"1,570,559,001.82","1,570,559,002.84"
audio,"1,570,575,167.55","1,570,575,179.35"
audio,"1,570,575,206.55","1,570,575,214.75"
writing,"1,570,575,225.04","1,570,575,229.15"
audio,"1,570,575,362.64","1,570,575,365.22"
